Major,Majors_Numbers
Aeronautics and Astronautics,9
Anthropology,16
Applied Physics,7
Art History,2
Biochemistry,1
Bioengineering,4
Biology,6
Biomedical Informatics,1
Biophysics,2
Chemical Engineering,5
Chemistry,6
Civil and Environmental Engineering,26
Classics,2
Communication,2
Comparative Literature,2
Computational and Mathematical Engineering,1
Computer Science,3
Curriculum Studies and Teacher Education (CTE),4
Developmental Biology,1
East Asian Languages and Cultures,4
East Asian Studies,1
Economics,4
Electrical Engineering,30
Emmett Interdisciplinary Program in Environment and Resources,1
Energy Resources Engineering,2
English,2
Epidemiology and Clinical Research,2
French,1
Genetics,1
Health Policy,1
History,4
Iberian and Latin American Cultures,4
Immunology,1
Latin American Studies,1
Linguistics,5
MD,1
Management Science and Engineering,2
Mathematics,4
Mechanical Engineering,15
Microbiology and Immunology,1
Modern Thought and Literature,2
Music,2
Neurosciences,1
Other Engineering,14
Other Medicine Biosciences,2
Philosophy,5
Physics,8
Political Science,7
Psychology,6
Religious Studies,3
"Social Sciences, Humanities and Interdisciplinary Policy Studies in Education (SHIPS)",3
Statistics,3
Stem Cell Biology and Regenerative Medicine,2
Theater and Performance Studies,7
Undeclared,9
