Major,Majors_Numbers
Aeronautics and Astronautics,7
Anthropology,3
Applied Physics,2
Bioengineering,1
Biology,2
Chemical Engineering,1
Chemistry,1
Civil and Environmental Engineering,18
Communication,2
Computer Science,13
East Asian Languages and Cultures,1
Economics,3
Electrical Engineering,12
English,1
History,3
Immunology,1
MD,1
Mechanical Engineering,3
Music,1
Neurosciences,1
Other Engineering,5
Philosophy,6
Physics,3
Political Science,5
Psychology,9
"Social Sciences, Humanities and Interdisciplinary Policy Studies in Education (SHIPS)",1
Sociology,1
Undeclared,11
