Major,Majors_Numbers
Aeronautics and Astronautics,2
Architectural Design,1
Bioengineering,4
Biology,3
Chemistry,2
Civil and Environmental Engineering,1
Communication,1
Computer Science,4
Earth Systems,3
Economics,5
Electrical Engineering,1
Engineering Physics,2
English,1
Human Biology,6
International Relations,2
Linguistics,1
Management Science and Engineering,1
Mathematics,2
Mechanical Engineering,2
Physics,2
Political Science,3
Psychology,4
Public Policy,1
"Science, Technology, and Society",2
Symbolic Systems,1
Theater and Performance Studies,1
Undeclared,31
