Major,Majors_Numbers
Aeronautics and Astronautics,1
Anthropology,6
Applied Physics,1
Bioengineering,2
Biology,1
Chemical Engineering,3
Civil and Environmental Engineering,17
Classics,1
Communication,1
Comparative Literature,1
Computer Science,1
Curriculum Studies and Teacher Education (CTE),1
Electrical Engineering,5
English,2
Mechanical Engineering,4
Modern Thought and Literature,1
Other Engineering,2
Physics,1
Political Science,1
Psychology,2
Religious Studies,1
Slavic Languages and Literature,1
"Social Sciences, Humanities and Interdisciplinary Policy Studies in Education (SHIPS)",1
Sociology,1
Undeclared,30
