Major,Majors_Numbers
Aeronautics and Astronautics,7
Anthropology,11
Applied Physics,7
Art History,2
Biochemistry,1
Bioengineering,4
Biology,6
Biomedical Informatics,1
Biophysics,2
Chemical Engineering,5
Chemistry,5
Civil and Environmental Engineering,21
Classics,2
Communication,2
Comparative Literature,2
Computational and Mathematical Engineering,1
Computer Science,2
Curriculum Studies and Teacher Education (CTE),3
Developmental Biology,1
East Asian Languages and Cultures,3
East Asian Studies,1
Economics,4
Electrical Engineering,27
Emmett Interdisciplinary Program in Environment and Resources,1
Energy Resources Engineering,1
English,2
Epidemiology and Clinical Research,2
French,1
Genetics,1
Health Policy,1
History,4
Iberian and Latin American Cultures,3
Immunology,1
Latin American Studies,1
Linguistics,4
MD,1
Management Science and Engineering,2
Mathematics,3
Mechanical Engineering,14
Microbiology and Immunology,1
Modern Thought and Literature,2
Music,2
Neurosciences,1
Other Engineering,13
Other Medicine Biosciences,2
Philosophy,4
Physics,8
Political Science,6
Psychology,6
Religious Studies,3
"Social Sciences, Humanities and Interdisciplinary Policy Studies in Education (SHIPS)",3
Statistics,3
Stem Cell Biology and Regenerative Medicine,2
Theater and Performance Studies,7
Undeclared,7
