Major,Majors_Numbers
Aeronautics and Astronautics,6
Anthropology,3
Applied Physics,2
Bioengineering,1
Biology,2
Chemical Engineering,1
Chemistry,1
Civil and Environmental Engineering,17
Communication,2
Computer Science,12
East Asian Languages and Cultures,1
Economics,3
Electrical Engineering,11
English,1
History,3
Immunology,1
MD,1
Mechanical Engineering,3
Music,1
Neurosciences,1
Other Engineering,5
Philosophy,2
Physics,2
Political Science,4
Psychology,7
"Social Sciences, Humanities and Interdisciplinary Policy Studies in Education (SHIPS)",1
Sociology,1
Undeclared,10
