Major,Majors_Numbers
Aeronautics and Astronautics,2
Anthropology,7
Applied Physics,5
Art History,2
Biochemistry,1
Bioengineering,4
Biology,4
Biomedical Informatics,1
Biophysics,2
Chemical Engineering,3
Chemistry,4
Civil and Environmental Engineering,12
Classics,2
Communication,1
Comparative Literature,2
Computational and Mathematical Engineering,1
Computer Science,1
Curriculum Studies and Teacher Education (CTE),1
Developmental Biology,1
East Asian Languages and Cultures,2
East Asian Studies,1
Economics,3
Electrical Engineering,19
English,2
Epidemiology and Clinical Research,1
French,1
Genetics,1
History,3
Iberian and Latin American Cultures,3
Immunology,1
Latin American Studies,1
Linguistics,2
MD,1
Management Science and Engineering,1
Mathematics,3
Mechanical Engineering,8
Music,2
Neurosciences,1
Other Engineering,9
Other Medicine Biosciences,2
Philosophy,2
Physics,7
Political Science,5
Psychology,3
Religious Studies,3
"Social Sciences, Humanities and Interdisciplinary Policy Studies in Education (SHIPS)",1
Statistics,3
Stem Cell Biology and Regenerative Medicine,2
Theater and Performance Studies,7
Undeclared,2
