Major,Majors_Numbers
Aeronautics and Astronautics,1
Anthropology,2
Applied Physics,2
Biochemistry,1
Biology,1
Chemistry,1
Civil and Environmental Engineering,2
Computer Science,1
Developmental and Psychological Sciences (DAPS),1
Electrical Engineering,14
Geological Sciences,1
International Comparative Education/ International Education Policy Analysis (ICE/IEPA),2
Learning Design and Technology (LDT),2
Linguistics,1
Management Science and Engineering,1
Master of Liberal Arts,1
Mechanical Engineering,5
Other Engineering,1
"Social Sciences, Humanities and Interdisciplinary Policy Studies in Education (SHIPS)",2
Undeclared,5
